Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C302, C303, C304, C307, C308, C401, C402",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,8,0.1uF,C14663
C202,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,0.1uF,C49678
"C203, C204, C205, C501",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,4,22uF,C45783
C301,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,1,4.7uF,C1779
"C305, C306",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,2,12pF,C1642
D201,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Green,C965815
D301,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Orange,C965813
D601,D_SMA,1,SS14,C2480
F201,Fuse_1812_4532Metric,1,800mA,C151168
FB201,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1,120 @ 100MHz,C79382
"H701, H702, H703, H704",MountingHole_3.2mm_M3_Pad_Via,4,MountingHole_Pad,
J201,BarrelJack_GCT_DCJ200-10-A_Horizontal,1,Barrel_Jack_MountingPin,C718037
J301,PinHeader_1x02_P2.54mm_Vertical,1,PinHeader_2.54mm,
J302,PinHeader_1x04_P2.54mm_Vertical,1,PinHeader_2.54mm,
J303,PinHeader_2x03_P2.54mm_Vertical,1,AVR-ISP-6,C65114
J501,JST_PH_S6B-PH-K_1x06_P2.00mm_Horizontal,1,JST-PH-6-F,C157920
J601,JST_PH_S4B-PH-K_1x04_P2.00mm_Horizontal,1,JST-PH-4-F,C157926
JP201,PinHeader_1x02_P2.54mm_Vertical,1,Jumper 5V,
JP601,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper Fan Driver,
JP602,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Jumper 4-Pin Fan,
L201,L_Sunlord_MWSA0518_5.4x5.2mm,1,10uH,C408349
L301,L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,1,10uH,C99366
"NT201, NT501, NT601",NetTie-2_SMD_Pad0.5mm,3,NetTie_2,
NT502,NetTie-3_SMD_Pad0.5mm,1,NetTie_3_Tee,
Q201,SOT-23,1,AO3401A,C347476
Q501,SOT-23,1,SS8050,C2150
Q601,SOT-23,1,AO3400A,C700953
R201,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,100k,C149504
R202,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,105k,C2961513
R203,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,1,20k,C2907240
"R204, R302",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,1k,C2907232
"R301, R403, R404, R501, R504, R601",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,6,10k,C98220
"R401, R402",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,2,470,C2907041
R502,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,47k,C2907042
"R503, R602",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,2,150,C17471
R505,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,1,1k,C2907002
"SW201, SW402",SW_Slide_1P2T_CK_OS102011MS2Q,2,SW_SPDT,C2800116
SW301,SW_SPST_TL3342,1,SW_Push,C2886894
SW401,SW_PUSH-12mm,1,SW_Push,C455206
TP201,TestPoint_Pad_D1.5mm,1,12V_TP,
TP202,TestPoint_Pad_D1.5mm,1,5V_TP,
TP203,TestPoint_Pad_D1.5mm,1,GND_TP,
U201,SOT-23-6,1,TP6841S6-A,C2844924
U301,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,1,16MHz,C112972
